ItemCertificado,Parcela,MovimentoId,TipoMovimento,EventoId,Identificador
106060126168710411,69,559B0000-4836-0022-F2BE-08DBE4B2A33B,CancelamentoParcela,559B0000-4836-0022-C2F0-08DBE4B2A336,E0050000-4836-0022-B915-08DBE4B21486
106060126168710411,69,559B0000-4836-0022-F2CE-08DBE4B2A33B,Reemissao,559B0000-4836-0022-C2F0-08DBE4B2A336,E0050000-4836-0022-B915-08DBE4B21486
106742001169010401,56,559B0000-4836-0022-98AE-08DBE4B2A739,Baixa,559B0000-4836-0022-BF35-08DBE4B2A736,6C120000-BD3C-6045-F030-08DBE4B216E7
106742001169010401,56,559B0000-4836-0022-9A71-08DBE4B2A739,CancelamentoParcela,559B0000-4836-0022-BF35-08DBE4B2A736,6C120000-BD3C-6045-F030-08DBE4B216E7
106742001169010401,56,559B0000-4836-0022-9A80-08DBE4B2A739,Reemissao,559B0000-4836-0022-BF35-08DBE4B2A736,6C120000-BD3C-6045-F030-08DBE4B216E7
105502132169010401,78,559B0000-4836-0022-5804-08DBE4B2C7AE,Reemissao,559B0000-4836-0022-96A0-08DBE4B2C7AB,E0050000-4836-0022-FEB6-08DBE4B229D5
105502132169010401,78,559B0000-4836-0022-57F2-08DBE4B2C7AE,CancelamentoParcela,559B0000-4836-0022-96A0-08DBE4B2C7AB,E0050000-4836-0022-FEB6-08DBE4B229D5
105502132169010401,78,559B0000-4836-0022-5693-08DBE4B2C7AE,Baixa,559B0000-4836-0022-96A0-08DBE4B2C7AB,E0050000-4836-0022-FEB6-08DBE4B229D5
106995029169010401,51,559B0000-4836-0022-FB8D-08DBE4B2E52F,Baixa,559B0000-4836-0022-9A85-08DBE4B2E52D,E0050000-4836-0022-D5BC-08DBE4B23E64
106995029169010401,51,559B0000-4836-0022-FCB3-08DBE4B2E52F,CancelamentoParcela,559B0000-4836-0022-9A85-08DBE4B2E52D,E0050000-4836-0022-D5BC-08DBE4B23E64
106995029169010401,51,559B0000-4836-0022-FCC5-08DBE4B2E52F,Reemissao,559B0000-4836-0022-9A85-08DBE4B2E52D,E0050000-4836-0022-D5BC-08DBE4B23E64
106439262168710411,63,559B0000-4836-0022-3A11-08DBE4B30C58,Baixa,559B0000-4836-0022-E8FE-08DBE4B30C49,E0050000-4836-0022-A28C-08DBE4B2525A
106439262168710411,63,559B0000-4836-0022-3B55-08DBE4B30C58,CancelamentoParcela,559B0000-4836-0022-E8FE-08DBE4B30C49,E0050000-4836-0022-A28C-08DBE4B2525A
106439262168710411,63,559B0000-4836-0022-3B64-08DBE4B30C58,Reemissao,559B0000-4836-0022-E8FE-08DBE4B30C49,E0050000-4836-0022-A28C-08DBE4B2525A
106758186169010401,55,559B0000-4836-0022-F763-08DBE4B39409,Baixa,559B0000-4836-0022-9723-08DBE4B39406,E0050300-4836-0022-A12F-08DBE4B2CE20
106758186169010401,55,559B0000-4836-0022-F88A-08DBE4B39409,CancelamentoParcela,559B0000-4836-0022-9723-08DBE4B39406,E0050300-4836-0022-A12F-08DBE4B2CE20
106758186169010401,55,559B0000-4836-0022-F898-08DBE4B39409,Reemissao,559B0000-4836-0022-9723-08DBE4B39406,E0050300-4836-0022-A12F-08DBE4B2CE20
106249065169010401,65,559B0000-4836-0022-C96D-08DBE4B39463,Baixa,559B0000-4836-0022-11F2-08DBE4B3945C,E0050000-4836-0022-8186-08DBE4B2CF05
106249065169010401,65,559B0000-4836-0022-CA95-08DBE4B39463,CancelamentoParcela,559B0000-4836-0022-11F2-08DBE4B3945C,E0050000-4836-0022-8186-08DBE4B2CF05
106249065169010401,65,559B0000-4836-0022-CAA3-08DBE4B39463,Reemissao,559B0000-4836-0022-11F2-08DBE4B3945C,E0050000-4836-0022-8186-08DBE4B2CF05
107309492168710411,48,559B0000-4836-0022-705F-08DBE4B3971B,Baixa,559B0000-4836-0022-C727-08DBE4B39718,E0050000-4836-0022-0006-08DBE4B2D1AD
107309492168710411,48,559B0000-4836-0022-7245-08DBE4B3971B,CancelamentoParcela,559B0000-4836-0022-C727-08DBE4B39718,E0050000-4836-0022-0006-08DBE4B2D1AD
107309492168710411,48,559B0000-4836-0022-7255-08DBE4B3971B,Reemissao,559B0000-4836-0022-C727-08DBE4B39718,E0050000-4836-0022-0006-08DBE4B2D1AD
106463682168710411,62,559B0000-4836-0022-F089-08DBE4B43E85,Baixa,559B0000-4836-0022-2A35-08DBE4B43E76,6C120000-BD3C-6045-0133-08DBE4B3E042
106463682168710411,62,559B0000-4836-0022-F259-08DBE4B43E85,CancelamentoParcela,559B0000-4836-0022-2A35-08DBE4B43E76,6C120000-BD3C-6045-0133-08DBE4B3E042
106463682168710411,62,559B0000-4836-0022-F266-08DBE4B43E85,Reemissao,559B0000-4836-0022-2A35-08DBE4B43E76,6C120000-BD3C-6045-0133-08DBE4B3E042
111518126169010401,11,559B0000-4836-0022-F880-08DBE4B44250,Emissao,559B0000-4836-0022-4EFE-08DBE4B4424F,6C120000-BD3C-6045-9F65-08DBE4B3E3E5
111518126169010401,11,559B0000-4836-0022-F8B4-08DBE4B44250,Baixa,559B0000-4836-0022-4EFE-08DBE4B4424F,6C120000-BD3C-6045-9F65-08DBE4B3E3E5
105186804169010401,83,559B0000-4836-0022-420C-08DBE4B44598,Baixa,559B0000-4836-0022-46C1-08DBE4B4456B,E0050000-4836-0022-2931-08DBE4B3E88A
105186804169010401,83,559B0000-4836-0022-43E0-08DBE4B44598,CancelamentoParcela,559B0000-4836-0022-46C1-08DBE4B4456B,E0050000-4836-0022-2931-08DBE4B3E88A
105186804169010401,83,559B0000-4836-0022-43EE-08DBE4B44598,Reemissao,559B0000-4836-0022-46C1-08DBE4B4456B,E0050000-4836-0022-2931-08DBE4B3E88A
105335735169010401,80,559B0000-4836-0022-7EB3-08DBE4B445E3,Baixa,559B0000-4836-0022-F47B-08DBE4B445A1,6C120000-BD3C-6045-222F-08DBE4B3E8F5
105335735169010401,80,559B0000-4836-0022-7FEC-08DBE4B445E3,CancelamentoParcela,559B0000-4836-0022-F47B-08DBE4B445A1,6C120000-BD3C-6045-222F-08DBE4B3E8F5
105335735169010401,80,559B0000-4836-0022-800C-08DBE4B445E3,Reemissao,559B0000-4836-0022-F47B-08DBE4B445A1,6C120000-BD3C-6045-222F-08DBE4B3E8F5
106696260169010401,58,559B0000-4836-0022-5324-08DBE4B44A1A,Baixa,559B0000-4836-0022-DA87-08DBE4B44A16,E0050300-4836-0022-958C-08DBE4B3EEF0
106696260169010401,58,559B0000-4836-0022-54EC-08DBE4B44A1A,CancelamentoParcela,559B0000-4836-0022-DA87-08DBE4B44A16,E0050300-4836-0022-958C-08DBE4B3EEF0
